model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	arc	errorprobe	MISSING	0	304	0	0
qwen3.5-9b	arc	errorprobe_bt	MISSING	0	304	0	0
qwen3.5-9b	arc	errorprobe_paper	MISSING	0	304	0	0
qwen3.5-9b	gaia	errorprobe	MISSING	0	50	0	0
qwen3.5-9b	gaia	errorprobe_bt	MISSING	0	50	0	0
qwen3.5-9b	gaia	errorprobe_paper	MISSING	0	50	0	0
qwen3.5-9b	hotpot	errorprobe	MISSING	0	578	0	0
qwen3.5-9b	hotpot	errorprobe_bt	MISSING	0	578	0	0
qwen3.5-9b	hotpot	errorprobe_paper	MISSING	0	578	0	0
qwen3.5-9b	math500	errorprobe	MISSING	0	157	0	0
qwen3.5-9b	math500	errorprobe_bt	MISSING	0	157	0	0
qwen3.5-9b	math500	errorprobe_paper	MISSING	0	157	0	0
qwen3.5-9b	mmlu_pro	errorprobe	MISSING	0	92	0	0
qwen3.5-9b	mmlu_pro	errorprobe_bt	MISSING	0	92	0	0
qwen3.5-9b	mmlu_pro	errorprobe_paper	MISSING	0	92	0	0
qwen3.5-9b	musique	errorprobe	MISSING	0	312	0	0
qwen3.5-9b	musique	errorprobe_bt	MISSING	0	312	0	0
qwen3.5-9b	musique	errorprobe_paper	MISSING	0	312	0	0
qwen3.5-9b	wikimqa	errorprobe	MISSING	0	733	0	0
qwen3.5-9b	wikimqa	errorprobe_bt	MISSING	0	733	0	0
qwen3.5-9b	wikimqa	errorprobe_paper	MISSING	0	733	0	0
deepseek-8b	arc	errorprobe	MISSING	0	304	0	0
deepseek-8b	arc	errorprobe_bt	MISSING	0	304	0	0
deepseek-8b	arc	errorprobe_paper	MISSING	0	304	0	0
deepseek-8b	gaia	errorprobe	MISSING	0	50	0	0
deepseek-8b	gaia	errorprobe_bt	MISSING	0	50	0	0
deepseek-8b	gaia	errorprobe_paper	MISSING	0	50	0	0
deepseek-8b	hotpot	errorprobe	MISSING	0	578	0	0
deepseek-8b	hotpot	errorprobe_bt	MISSING	0	578	0	0
deepseek-8b	hotpot	errorprobe_paper	MISSING	0	578	0	0
deepseek-8b	math500	errorprobe	MISSING	0	157	0	0
deepseek-8b	math500	errorprobe_bt	MISSING	0	157	0	0
deepseek-8b	math500	errorprobe_paper	MISSING	0	157	0	0
deepseek-8b	mmlu_pro	errorprobe	MISSING	0	92	0	0
deepseek-8b	mmlu_pro	errorprobe_bt	MISSING	0	92	0	0
deepseek-8b	mmlu_pro	errorprobe_paper	MISSING	0	92	0	0
deepseek-8b	musique	errorprobe	MISSING	0	312	0	0
deepseek-8b	musique	errorprobe_bt	MISSING	0	312	0	0
deepseek-8b	musique	errorprobe_paper	MISSING	0	312	0	0
deepseek-8b	wikimqa	errorprobe	MISSING	0	733	0	0
deepseek-8b	wikimqa	errorprobe_bt	MISSING	0	733	0	0
deepseek-8b	wikimqa	errorprobe_paper	MISSING	0	733	0	0
gpt-4o	arc	errorprobe	MISSING	0	304	0	0
gpt-4o	arc	errorprobe_bt	MISSING	0	304	0	0
gpt-4o	arc	errorprobe_paper	MISSING	0	304	0	0
gpt-4o	gaia	errorprobe	MISSING	0	50	0	0
gpt-4o	gaia	errorprobe_bt	MISSING	0	50	0	0
gpt-4o	gaia	errorprobe_paper	MISSING	0	50	0	0
gpt-4o	hotpot	errorprobe	MISSING	0	578	0	0
gpt-4o	hotpot	errorprobe_bt	MISSING	0	578	0	0
gpt-4o	hotpot	errorprobe_paper	MISSING	0	578	0	0
gpt-4o	math500	errorprobe	MISSING	0	157	0	0
gpt-4o	math500	errorprobe_bt	MISSING	0	157	0	0
gpt-4o	math500	errorprobe_paper	MISSING	0	157	0	0
gpt-4o	mmlu_pro	errorprobe	MISSING	0	92	0	0
gpt-4o	mmlu_pro	errorprobe_bt	MISSING	0	92	0	0
gpt-4o	mmlu_pro	errorprobe_paper	MISSING	0	92	0	0
gpt-4o	musique	errorprobe	MISSING	0	312	0	0
gpt-4o	musique	errorprobe_bt	MISSING	0	312	0	0
gpt-4o	musique	errorprobe_paper	MISSING	0	312	0	0
gpt-4o	wikimqa	errorprobe	MISSING	0	733	0	0
gpt-4o	wikimqa	errorprobe_bt	MISSING	0	733	0	0
gpt-4o	wikimqa	errorprobe_paper	MISSING	0	733	0	0
