model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	magentic	errorprobe	DONE	91	91	0	0
qwen3.5-9b	magentic	errorprobe_bt	DONE	91	91	0	0
qwen3.5-9b	magentic	errorprobe_paper	DONE	91	91	0	0
qwen3.5-9b	captain	errorprobe	DONE	85	85	0	0
qwen3.5-9b	captain	errorprobe_bt	DONE	85	85	0	0
qwen3.5-9b	captain	errorprobe_paper	DONE	85	85	0	1
deepseek-8b	magentic	errorprobe	DONE	91	91	0	0
deepseek-8b	magentic	errorprobe_bt	DONE	91	91	0	0
deepseek-8b	magentic	errorprobe_paper	DONE	91	91	0	0
deepseek-8b	captain	errorprobe	DONE	85	85	0	0
deepseek-8b	captain	errorprobe_bt	DONE	85	85	0	0
deepseek-8b	captain	errorprobe_paper	DONE	85	85	0	1
gpt-4o	magentic	errorprobe	MISSING	0	91	0	0
gpt-4o	magentic	errorprobe_bt	MISSING	0	91	0	0
gpt-4o	magentic	errorprobe_paper	MISSING	0	91	0	0
gpt-4o	captain	errorprobe	MISSING	0	85	0	0
gpt-4o	captain	errorprobe_bt	MISSING	0	85	0	0
gpt-4o	captain	errorprobe_paper	MISSING	0	85	0	0
gpt-5	magentic	errorprobe	MISSING	0	91	0	0
gpt-5	magentic	errorprobe_bt	MISSING	0	91	0	0
gpt-5	magentic	errorprobe_paper	MISSING	0	91	0	0
gpt-5	captain	errorprobe	MISSING	0	85	0	0
gpt-5	captain	errorprobe_bt	MISSING	0	85	0	0
gpt-5	captain	errorprobe_paper	MISSING	0	85	0	0
