model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	code	errorprobe	DONE	127	127	0	0
qwen3.5-9b	code	errorprobe_bt	DONE	127	127	0	0
qwen3.5-9b	code	errorprobe_paper	DONE	127	127	0	6
deepseek-8b	code	errorprobe	DONE	127	127	0	0
deepseek-8b	code	errorprobe_bt	DONE	127	127	0	0
deepseek-8b	code	errorprobe_paper	DONE	127	127	0	18
gpt-4o	code	errorprobe	MISSING	0	127	0	0
gpt-4o	code	errorprobe_bt	MISSING	0	127	0	0
gpt-4o	code	errorprobe_paper	MISSING	0	127	0	0
gpt-5	code	errorprobe	MISSING	0	127	0	0
gpt-5	code	errorprobe_bt	MISSING	0	127	0	0
gpt-5	code	errorprobe_paper	MISSING	0	127	0	0
