model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	arc	correct	DONE	304	304	0	0
qwen3.5-9b	gaia	correct	DONE	50	50	0	0
qwen3.5-9b	hotpot	correct	DONE	578	578	0	0
qwen3.5-9b	math500	correct	DONE	157	157	0	0
qwen3.5-9b	mmlu_pro	correct	DONE	92	92	0	0
qwen3.5-9b	musique	correct	DONE	312	312	0	0
qwen3.5-9b	wikimqa	correct	DONE	733	733	0	0
deepseek-8b	arc	correct	DONE	304	304	0	17
deepseek-8b	gaia	correct	DONE	50	50	0	10
deepseek-8b	hotpot	correct	DONE	578	578	0	38
deepseek-8b	math500	correct	DONE	157	157	0	20
deepseek-8b	mmlu_pro	correct	DONE	92	92	0	8
deepseek-8b	musique	correct	DONE	312	312	0	35
deepseek-8b	wikimqa	correct	DONE	733	733	0	76
gpt-4o	arc	correct	DONE	304	304	0	2
gpt-4o	gaia	correct	DONE	50	50	0	2
gpt-4o	hotpot	correct	DONE	578	578	0	11
gpt-4o	math500	correct	DONE	157	157	0	0
gpt-4o	mmlu_pro	correct	DONE	92	92	0	0
gpt-4o	musique	correct	DONE	312	312	0	9
gpt-4o	wikimqa	correct	DONE	733	733	0	10
gpt-5	arc	correct	DONE	304	304	0	0
gpt-5	gaia	correct	DONE	50	50	0	0
gpt-5	hotpot	correct	DONE	578	578	0	1
gpt-5	math500	correct	DONE	157	157	0	1
gpt-5	mmlu_pro	correct	DONE	92	92	0	0
gpt-5	musique	correct	DONE	312	312	0	2
gpt-5	wikimqa	correct	DONE	733	733	0	2
