model	subset	method	status	rows	expected	no_pred	fmt_fail
gpt-4o	arc	all_at_once	DONE	304	304	0	0
gpt-4o	arc	step_by_step	DONE	304	304	41	0
gpt-4o	arc	binary_search	DONE	304	304	0	0
gpt-4o	gaia	all_at_once	DONE	50	50	0	0
gpt-4o	gaia	step_by_step	DONE	50	50	9	0
gpt-4o	gaia	binary_search	DONE	50	50	0	0
gpt-4o	hotpot	all_at_once	DONE	578	578	0	0
gpt-4o	hotpot	step_by_step	DONE	578	578	92	0
gpt-4o	hotpot	binary_search	DONE	578	578	0	0
gpt-4o	math500	all_at_once	DONE	157	157	0	0
gpt-4o	math500	step_by_step	DONE	157	157	53	0
gpt-4o	math500	binary_search	DONE	157	157	0	0
gpt-4o	mmlu_pro	all_at_once	DONE	92	92	0	0
gpt-4o	mmlu_pro	step_by_step	DONE	92	92	16	0
gpt-4o	mmlu_pro	binary_search	DONE	92	92	0	0
gpt-4o	musique	all_at_once	DONE	312	312	0	0
gpt-4o	musique	step_by_step	DONE	312	312	54	0
gpt-4o	musique	binary_search	DONE	312	312	0	0
gpt-4o	wikimqa	all_at_once	DONE	733	733	0	0
gpt-4o	wikimqa	step_by_step	DONE	733	733	139	0
gpt-4o	wikimqa	binary_search	DONE	733	733	0	0
gpt-5	arc	all_at_once	DONE	304	304	0	0
gpt-5	arc	step_by_step	DONE	304	304	7	0
gpt-5	arc	binary_search	DONE	304	304	0	0
gpt-5	gaia	all_at_once	DONE	50	50	0	0
gpt-5	gaia	step_by_step	DONE	50	50	1	0
gpt-5	gaia	binary_search	DONE	50	50	0	0
gpt-5	hotpot	all_at_once	DONE	578	578	0	2
gpt-5	hotpot	step_by_step	DONE	578	578	16	0
gpt-5	hotpot	binary_search	DONE	578	578	0	0
gpt-5	math500	all_at_once	DONE	157	157	0	1
gpt-5	math500	step_by_step	DONE	157	157	0	0
gpt-5	math500	binary_search	DONE	157	157	0	0
gpt-5	mmlu_pro	all_at_once	DONE	92	92	0	0
gpt-5	mmlu_pro	step_by_step	DONE	92	92	2	0
gpt-5	mmlu_pro	binary_search	DONE	92	92	0	0
gpt-5	musique	all_at_once	DONE	312	312	0	3
gpt-5	musique	step_by_step	DONE	312	312	7	0
gpt-5	musique	binary_search	DONE	312	312	0	0
gpt-5	wikimqa	all_at_once	DONE	733	733	0	2
gpt-5	wikimqa	step_by_step	DONE	733	733	34	0
gpt-5	wikimqa	binary_search	DONE	733	733	0	0
