model	subset	method	status	rows	expected	no_pred	fmt_fail
qwen3.5-9b	magentic	all_at_once	DONE	91	91	0	0
qwen3.5-9b	magentic	step_by_step	DONE	91	91	4	0
qwen3.5-9b	magentic	binary_search	DONE	91	91	0	0
qwen3.5-9b	captain	all_at_once	DONE	85	85	0	0
qwen3.5-9b	captain	step_by_step	DONE	85	85	8	0
qwen3.5-9b	captain	binary_search	DONE	85	85	0	0
deepseek-8b	magentic	all_at_once	DONE	91	91	0	9
deepseek-8b	magentic	step_by_step	DONE	91	91	0	0
deepseek-8b	magentic	binary_search	DONE	91	91	0	0
deepseek-8b	captain	all_at_once	DONE	85	85	0	6
deepseek-8b	captain	step_by_step	DONE	85	85	0	0
deepseek-8b	captain	binary_search	DONE	85	85	0	0
gpt-4o	magentic	all_at_once	DONE	91	91	0	0
gpt-4o	magentic	step_by_step	DONE	91	91	1	0
gpt-4o	magentic	binary_search	DONE	91	91	0	0
gpt-4o	captain	all_at_once	DONE	85	85	0	0
gpt-4o	captain	step_by_step	DONE	85	85	0	0
gpt-4o	captain	binary_search	DONE	85	85	0	0
gpt-5	magentic	all_at_once	DONE	91	91	0	0
gpt-5	magentic	step_by_step	DONE	91	91	0	0
gpt-5	magentic	binary_search	DONE	91	91	0	0
gpt-5	captain	all_at_once	DONE	85	85	0	0
gpt-5	captain	step_by_step	DONE	85	85	0	0
gpt-5	captain	binary_search	DONE	85	85	0	0
